[2022-10-19 09:12:48,134] INFO [shopproduct:102] productcontent user_id:jk prodnum:405 prodname:우디 오버핏 자수 옥스포드 셔츠 prodimg:brandimgs/11_DJpJM7s.jpg prodbrand:스파오 proditems:긴팔티 prodname:우디 오버핏 자수 옥스포드 셔츠 date:2022-10-19 09:12:48
[2022-10-19 09:12:49,609] INFO [shopproduct:102] productcontent user_id:jk prodnum:405 prodname:우디 오버핏 자수 옥스포드 셔츠 prodimg:brandimgs/11_DJpJM7s.jpg prodbrand:스파오 proditems:긴팔티 prodname:우디 오버핏 자수 옥스포드 셔츠 date:2022-10-19 09:12:49
[2022-10-19 09:13:39,571] INFO [shopproduct:102] productcontent user_id:jk prodnum:405 prodname:우디 오버핏 자수 옥스포드 셔츠 prodimg:brandimgs/11_DJpJM7s.jpg prodbrand:스파오 proditems:긴팔티 prodname:우디 오버핏 자수 옥스포드 셔츠 date:2022-10-19 09:13:39
[2022-10-19 09:13:42,814] INFO [shopproduct:102] productcontent user_id:jk prodnum:915 prodname:나이키 기모티 prodimg:brandimgs/10_kKIGMDl.jpg prodbrand:나이키 proditems:긴팔티 prodname:나이키 기모티 date:2022-10-19 09:13:42
[2022-10-19 09:13:44,021] INFO [shopproduct:102] productcontent user_id:jk prodnum:915 prodname:나이키 기모티 prodimg:brandimgs/10_kKIGMDl.jpg prodbrand:나이키 proditems:긴팔티 prodname:나이키 기모티 date:2022-10-19 09:13:44
[2022-10-19 09:13:46,357] INFO [shopproduct:102] productcontent user_id:bbb prodnum:584 prodname:퍼플 맨투맨 prodimg:brandimgs/7_2njXZze.jpg prodbrand:무지 proditems:긴팔티 prodname:퍼플 맨투맨 date:2022-10-19 09:13:46
[2022-10-19 09:13:46,561] INFO [shopproduct:102] productcontent user_id:jk prodnum:358 prodname:골든 할렘 팬츠 prodimg:brandimgs/nf_2_0_30.jpg prodbrand:노스페이스 proditems:반바지 prodname:골든 할렘 팬츠 date:2022-10-19 09:13:46
[2022-10-19 09:13:47,476] INFO [shopproduct:102] productcontent user_id:jk prodnum:358 prodname:골든 할렘 팬츠 prodimg:brandimgs/nf_2_0_30.jpg prodbrand:노스페이스 proditems:반바지 prodname:골든 할렘 팬츠 date:2022-10-19 09:13:47
[2022-10-19 09:13:50,118] INFO [shopproduct:102] productcontent user_id:jk prodnum:846 prodname:콘벤츠 티 prodimg:brandimgs/detail_1848166_57_500.jpg prodbrand:무지 proditems:반팔티 prodname:콘벤츠 티 date:2022-10-19 09:13:50
[2022-10-19 09:13:51,036] INFO [shopproduct:102] productcontent user_id:jk prodnum:846 prodname:콘벤츠 티 prodimg:brandimgs/detail_1848166_57_500.jpg prodbrand:무지 proditems:반팔티 prodname:콘벤츠 티 date:2022-10-19 09:13:51
